dataset,method,method_display,raw_method_key,seed,edge_removal_rate,test_macro_f1,val_macro_f1,test_accuracy,test_worst_class_f1,train_seconds,prune_seconds,giant_component_ratio,bridge_preservation,minority_degree_retention,minority_isolation_rate,clustering,num_components,degree_ks,retained_edge_ratio,source_file
facebook,cailp_a31,Task-only,cailp_a31,0,0.1,0.8997136386617895,0.9020316247178073,0.9072096128170895,0.8480509148766905,2444.039017667,0.14321125000014945,0.7090787716955941,0.02455432223343424,0.7953456525593977,0.41148181544935375,0.28386958110357335,6509.0,0.28945260347129503,0.9000017562037899,facebook_seed0_cailp_a31.json
facebook,cailp_a31,Task-only,cailp_a31,0,0.2,0.8861771481015106,0.890775745235433,0.892745883400089,0.84185303514377,2444.039017667,0.06390679100013585,0.5433466844681798,0.0010090817356205853,0.6491778771290536,0.5804027652539826,0.23074037191483393,10230.0,0.4549621717846017,0.7999976583949469,facebook_seed0_cailp_a31.json
facebook,cailp_a31,Task-only,cailp_a31,0,0.3,0.8850069184889109,0.8904538580353129,0.8918558077436582,0.8387609213661636,2444.039017667,0.051409624999905645,0.48718291054739654,0.0006727211570803902,0.55761263330524,0.6405169822663059,0.19520901950796973,11504.0,0.5117489986648865,0.6999994145987367,facebook_seed0_cailp_a31.json
facebook,cailp_a31,Task-only,cailp_a31,0,0.4,0.8869926839163228,0.8889577689202589,0.8931909212283045,0.8443735035913806,2444.039017667,0.3805390000002262,0.4817979528259902,0.0006727211570803902,0.42834021328671174,0.6519386834986475,0.15210381924392974,11626.0,0.5172229639519359,0.6000011708025266,facebook_seed0_cailp_a31.json
facebook,cailp_a31,Task-only,cailp_a31,0,0.5,0.8850930802805457,0.8910280740734601,0.8925233644859814,0.8348106365834005,2444.039017667,0.3584481660000165,0.4785046728971963,0.0006727211570803902,0.3951967653294123,0.6570483919446949,0.12319951647674396,11700.0,0.5205162438807298,0.4999970729936835,facebook_seed0_cailp_a31.json
facebook,cailp_a31,Task-only,cailp_a31,0,0.6,0.8882224353253322,0.8899757210927415,0.8958611481975968,0.8354430379746836,2444.039017667,0.07126849999986007,0.4712950600801068,0.0006727211570803902,0.33832856978935727,0.6675683799218515,0.09570038358238389,11858.0,0.5275033377837116,0.3999988291974734,facebook_seed0_cailp_a31.json
facebook,cailp_a31,Task-only,cailp_a31,0,0.7,0.8891734820254397,0.8909025224615729,0.8956386292834891,0.8454763811048839,2444.039017667,0.03352737499972136,0.4609701824655096,0.0003363605785401951,0.28320817140734034,0.6840997896002404,0.07274624937606433,12088.0,0.5376502002670227,0.3000005854012633,facebook_seed0_cailp_a31.json
facebook,cailp_a31,Task-only,cailp_a31,0,0.8,0.8885438098495144,0.889124558640389,0.8943035157988429,0.8483412322274881,2444.039017667,0.02640166599985605,0.4287939474855363,0.0003363605785401951,0.22918823029554652,0.7048391944694921,0.05277375592793419,12783.0,0.5682688028482421,0.20000234160505317,facebook_seed0_cailp_a31.json
facebook,cailp_a31,Task-only,cailp_a31,0,0.9,0.8874402952920257,0.8910082883221603,0.8936359590565198,0.8458498023715415,2444.039017667,0.029140749999896798,0.2820649755229194,0.0003363605785401951,0.14555281023906833,0.7769762548842801,0.0293685601693002,15761.0,0.6963951935914553,0.09999824379621011,facebook_seed0_cailp_a31.json
facebook,cailp_a31,Task-only,cailp_a31,1,0.1,0.9214881653390343,0.9224007336363538,0.9243435692033823,0.901689708141321,2034.740980833999,0.11955520899937255,0.8206497552291945,0.43760511268079383,0.9877653931430679,0.020138262699128343,0.27899292780483353,3943.0,0.1728526924788607,0.9000017562037899,facebook_seed1_cailp_a31.json
facebook,cailp_a31,Task-only,cailp_a31,1,0.2,0.9217087659326,0.9212524779063922,0.9243435692033823,0.9036697247706422,2034.740980833999,0.03912225000021863,0.8006675567423231,0.4150689539186007,0.9747540000366584,0.022242260294559665,0.24189883100063714,4360.0,0.19265687583444596,0.7999976583949469,facebook_seed1_cailp_a31.json
facebook,cailp_a31,Task-only,cailp_a31,1,0.3,0.9164680054971834,0.9208500836418212,0.9203382287494437,0.8899153194765204,2034.740980833999,0.027071458000136772,0.784913217623498,0.40228725193407333,0.9129336825960302,0.023444544634806132,0.2115020934560446,4711.0,0.21041388518024035,0.6999994145987367,facebook_seed1_cailp_a31.json
facebook,cailp_a31,Task-only,cailp_a31,1,0.4,0.9131387078518984,0.918211803063922,0.9176680017801513,0.8819875776397516,2034.740980833999,0.028305915999226272,0.7682688028482421,0.3888328287924655,0.8169665583436688,0.028253681995792004,0.1825797770687434,5073.0,0.22696929238985314,0.6000011708025266,facebook_seed1_cailp_a31.json
facebook,cailp_a31,Task-only,cailp_a31,1,0.5,0.911394996932833,0.9166262488766089,0.9154428126390743,0.8829787234042553,2034.740980833999,0.026105834000190953,0.7484201157098354,0.3713420787083754,0.7751812230119688,0.03216110610159303,0.15547280113904124,5525.0,0.24775255896751225,0.4999970729936835,facebook_seed1_cailp_a31.json
facebook,cailp_a31,Task-only,cailp_a31,1,0.6,0.9052979359788502,0.9130697178557399,0.9094348019581664,0.8766283524904215,2034.740980833999,0.024636999998620013,0.7176234979973297,0.3504877228388833,0.728087721139249,0.03486624586714758,0.13226989553761234,6176.0,0.2806853582554517,0.3999988291974734,facebook_seed1_cailp_a31.json
facebook,cailp_a31,Task-only,cailp_a31,1,0.7,0.9046271909194299,0.9113577131415338,0.9085447263017357,0.8761329305135952,2034.740980833999,0.022788958998717135,0.6640409434801958,0.33198789101917253,0.6750064665102936,0.04238052299368801,0.11210553209514983,7370.0,0.3410324877614597,0.3000005854012633,facebook_seed1_cailp_a31.json
facebook,cailp_a31,Task-only,cailp_a31,1,0.8,0.8936669783086499,0.8976906867917107,0.8974187805963507,0.8685800604229608,2034.740980833999,0.022609958999964874,0.5572318647085002,0.30272452068617556,0.6077161860674334,0.056807935076645624,0.09109374142310933,9661.0,0.44165554072096125,0.20000234160505317,facebook_seed1_cailp_a31.json
facebook,cailp_a31,Task-only,cailp_a31,1,0.9,0.8969476220585947,0.8978579867083337,0.8989764129951046,0.8829231916480239,2034.740980833999,0.022723750000295695,0.3538050734312417,0.2687521022536159,0.5075737785884696,0.0757439134355275,0.06283741885758669,13683.0,0.615086782376502,0.09999824379621011,facebook_seed1_cailp_a31.json
facebook,cailp_a31,Task-only,cailp_a31,2,0.1,0.9346807672413059,0.9401180380674912,0.9381397418780596,0.9083969465648855,1362.4714547080002,0.08621016699908068,1.0,1.0,0.9961806576416954,0.0,0.3359484013542542,1.0,0.017133956386292892,0.9000017562037899,facebook_seed2_cailp_a31.json
facebook,cailp_a31,Task-only,cailp_a31,2,0.2,0.9347721234464188,0.942228682642541,0.9374721851357365,0.9132075471698113,1362.4714547080002,0.04079045900107303,0.9993769470404984,1.0,0.966824176269323,0.0,0.30367195327331203,2.0,0.03324432576769032,0.7999976583949469,facebook_seed2_cailp_a31.json
facebook,cailp_a31,Task-only,cailp_a31,2,0.3,0.9348947092126823,0.9421311205675285,0.9374721851357365,0.9140271493212669,1362.4714547080002,0.02680816700012656,0.9993769470404984,1.0,0.8578132585401856,0.0,0.27254177654618567,2.0,0.06973742768135294,0.6999994145987367,facebook_seed2_cailp_a31.json
facebook,cailp_a31,Task-only,cailp_a31,2,0.4,0.9356502933455675,0.9403701347210098,0.9383622607921673,0.913767019667171,1362.4714547080002,0.02748362499914947,0.9987093902981753,1.0,0.805185095619811,0.004207995190862639,0.24619234427253156,17.0,0.1109479305740988,0.6000011708025266,facebook_seed2_cailp_a31.json
facebook,cailp_a31,Task-only,cailp_a31,2,0.5,0.9351470198908035,0.9398777140768143,0.9376947040498442,0.9147169811320754,1362.4714547080002,0.024234874999820022,0.9956386292834891,1.0,0.748511096911335,0.0066125638713555755,0.22295799024201995,82.0,0.1600356030262572,0.4999970729936835,facebook_seed2_cailp_a31.json
facebook,cailp_a31,Task-only,cailp_a31,2,0.6,0.9279981562016535,0.936248286748986,0.9299065420560748,0.9122541603630863,1362.4714547080002,0.02515750000020489,0.9773030707610146,1.0,0.6914810535624125,0.014727983168019236,0.1906294538530068,461.0,0.22171784601691147,0.3999988291974734,facebook_seed2_cailp_a31.json
facebook,cailp_a31,Task-only,cailp_a31,2,0.7,0.9289521274035984,0.9320237106277562,0.9303515798842902,0.9171686746987951,1362.4714547080002,0.023032834000332514,0.9309746328437917,1.0,0.5901087157008972,0.025247971145175834,0.1604654901850418,1454.0,0.30267022696929247,0.3000005854012633,facebook_seed2_cailp_a31.json
facebook,cailp_a31,Task-only,cailp_a31,2,0.8,0.925010268913385,0.9234520754584021,0.9265687583444593,0.9119638826185101,1362.4714547080002,0.021145624999917345,0.8132621272808189,0.9979818365287588,0.4413516320669488,0.04869251577998197,0.12154874437151378,3591.0,0.4124165554072096,0.20000234160505317,facebook_seed2_cailp_a31.json
facebook,cailp_a31,Task-only,cailp_a31,2,0.9,0.9180595397663525,0.9135236455555964,0.9203382287494437,0.9001512859304085,1362.4714547080002,0.022064208000301733,0.40565198041833556,0.9408005381769257,0.28828974074641445,0.11181244364292155,0.07055828684726013,9386.0,0.5698264352469959,0.09999824379621011,facebook_seed2_cailp_a31.json
facebook,cailp_a31,Task-only,cailp_a31,3,0.1,0.9109991290902999,0.9090132718170374,0.9174454828660437,0.8637083993660856,1214.818191208,0.07128937499874155,0.7834890965732088,0.39354187689202824,0.8189732760525362,0.2939585211902615,0.2936400454807991,4823.0,0.21437472185135736,0.9000017562037899,facebook_seed3_cailp_a31.json
