dataset,method,removal,metric,mean
github,CILP,0.5,giant_component_ratio,0.9026870026525199
github,CILP,0.5,bridge_preservation,0.8024422820072505
github,CILP,0.5,minority_degree_retention,0.5653168904441532
github,CILP,0.7,giant_component_ratio,0.8645994694960212
github,CILP,0.7,bridge_preservation,0.7950581950009541
github,CILP,0.7,minority_degree_retention,0.39849993821900226
github,Task-only,0.3,giant_component_ratio,0.7840185676392573
github,Task-only,0.3,bridge_preservation,0.522667429879794
github,Task-only,0.3,minority_degree_retention,0.6221842765618667
github,Task-only,0.5,giant_component_ratio,0.6742758620689655
github,Task-only,0.5,bridge_preservation,0.482923106277428
github,Task-only,0.5,minority_degree_retention,0.45172011155293357
github,Task-only,0.7,giant_component_ratio,0.576023872679045
github,Task-only,0.7,bridge_preservation,0.4608090059149017
github,Task-only,0.7,minority_degree_retention,0.2785330176488479
github,ILP-GCN,0.3,giant_component_ratio,0.9503766578249337
github,ILP-GCN,0.3,bridge_preservation,0.752738027094066
github,ILP-GCN,0.3,minority_degree_retention,0.8242457989474241
github,ILP-GCN,0.5,giant_component_ratio,0.9254641909814325
github,ILP-GCN,0.5,bridge_preservation,0.6853081473001337
github,ILP-GCN,0.5,minority_degree_retention,0.6656571048682108
github,ILP-GCN,0.7,giant_component_ratio,0.8777347480106101
github,ILP-GCN,0.7,bridge_preservation,0.5974241556954779
github,ILP-GCN,0.7,minority_degree_retention,0.463399305394654
github,PTDNet,0.3,giant_component_ratio,0.9510238726790451
github,PTDNet,0.3,bridge_preservation,0.7574890288112954
github,PTDNet,0.3,minority_degree_retention,0.8662530842976869
github,PTDNet,0.5,giant_component_ratio,0.9254429708222812
github,PTDNet,0.5,bridge_preservation,0.6873879030719328
github,PTDNet,0.5,minority_degree_retention,0.7462112160423963
github,PTDNet,0.7,giant_component_ratio,0.8698222811671087
github,PTDNet,0.7,bridge_preservation,0.5894676588437321
github,PTDNet,0.7,minority_degree_retention,0.5717607920915363
github,random,0.3,giant_component_ratio,nan
github,random,0.3,bridge_preservation,nan
github,random,0.3,minority_degree_retention,nan
github,random,0.5,giant_component_ratio,nan
github,random,0.5,bridge_preservation,nan
github,random,0.5,minority_degree_retention,nan
github,random,0.7,giant_component_ratio,nan
github,random,0.7,bridge_preservation,nan
github,random,0.7,minority_degree_retention,nan
