dataset,comparator,n,mean,ci_low,ci_high,wilcoxon_p
LastFM,Task-only,10,0.026521916428534586,0.002215698551428325,0.05082813430564084,0.00390625
LastFM,ILP-GCN,10,0.0029257538393747005,-0.0291884716636549,0.0350399793424043,0.431640625
LastFM,PTDNet,10,-0.023204367388849057,-0.05268624575880218,0.006277510981104063,0.064453125
Facebook,Task-only,10,0.014209337447398173,0.005273107558340106,0.02314556733645624,0.00390625
Facebook,ILP-GCN,10,-0.0028872568722448032,-0.009083718143214143,0.003309204398724537,0.625
Facebook,PTDNet,10,0.0025707664632827363,-0.0052459416408323295,0.010387474567397803,0.625
GitHub,Task-only,10,0.0032584294635187973,0.0014546327358832365,0.005062226191154358,0.001953125
GitHub,ILP-GCN,10,-0.0024022783399921697,-0.003959549270317433,-0.0008450074096669061,0.00390625
GitHub,PTDNet,10,-0.002287546795358675,-0.0038773761822964194,-0.0006977174084209304,0.005859375
