teacher_n,val_0.3,test_0.3,val_0.5,test_0.5,val_0.7,test_0.7,mean_val_macro_f1,selected_by_val_at_0.5,negative_pilot
20,0.9067658112370647,0.9005999915781501,0.9051986752248282,0.900106253937523,0.9018699581399867,0.8972949442954847,0.9046114815339599,False,False
40,0.9141193875830551,0.9102103031323431,0.9106512597422045,0.9064621418694463,0.8988428712410432,0.8969104734707389,0.9078711728554344,False,True
80,0.9392736258263721,0.9423317671253107,0.9335704412203822,0.9385206346628231,0.9245617313044125,0.9215953263234131,0.932468599450389,False,False
120,0.9381376965672195,0.9410844763890741,0.9356064536869321,0.9383911755500285,0.9264525973621967,0.9216660306080188,0.933398915872116,True,False
