dataset,method,seed,edge_removal_rate,test_macro_f1,giant_component_ratio,bridge_preservation,minority_degree_retention,train_seconds
facebook,cailp_social_multi,0,0.6,0.8979384866519692,0.7498442367601246,0.23578876555667674,0.4339719984239837,2217.1305073750004
facebook,cailp_social_multi,0,0.7,0.8948987251125012,0.6894526034712951,0.15472586612848974,0.3051527471355188,2217.1305073750004
facebook,cailp_social_multi,0,0.8,0.8855941244117151,0.5994659546061415,0.10090817356205853,0.16380760765650562,2217.1305073750004
facebook,cailp_social_multi,0,0.9,0.8792976079416464,0.4325767690253672,0.06289942818701648,0.054505433190741144,2217.1305073750004
facebook,cailp_social_multi,1,0.1,0.9287775811687945,0.9688918558077436,0.8920282542885973,0.997993229866639,1131.2917285830008
facebook,cailp_social_multi,1,0.2,0.9297695458295362,0.9635959056519804,0.8832828792465524,0.9837518550300228,1131.2917285830008
facebook,cailp_social_multi,1,0.3,0.9286232974331364,0.9589230084557188,0.875882946518668,0.9452032191373969,1131.2917285830008
facebook,cailp_social_multi,1,0.4,0.9269191783441276,0.9510903426791277,0.8708375378405651,0.8520196512678738,1131.2917285830008
facebook,cailp_social_multi,1,0.5,0.9190942090004195,0.9325767690253671,0.8597376387487387,0.8164487172420101,1131.2917285830008
facebook,cailp_social_multi,1,0.6,0.912185986508832,0.8951045838896307,0.8462832156071308,0.7620403824670583,1131.2917285830008
facebook,cailp_social_multi,1,0.7,0.9036019393723396,0.8174899866488652,0.8133198789101918,0.6854285000654436,1131.2917285830008
facebook,cailp_social_multi,1,0.8,0.9012321373402281,0.6779706275033378,0.7564749411368987,0.5627912497124485,1131.2917285830008
facebook,cailp_social_multi,1,0.9,0.9027419917605435,0.4255451713395639,0.6316851664984864,0.37917526998587414,1131.2917285830008
facebook,cailp_social_multi,2,0.1,0.934530863087528,1.0,1.0,0.9973134896084577,1409.8542479169992
facebook,cailp_social_multi,2,0.2,0.9346932241403979,1.0,1.0,0.9571788273451786,1409.8542479169992
